District,Operative CASA,Aadhaar Seeded CASA,Authenticated CASA
East Garo Hills,119216,29286,13260
East Jaintia Hills,135312,34770,6678
East Khasi Hills,1044834,223139,135746
Eastern West Khasi Hills,103350,21475,1593
North Garo Hills,130017,26640,6449
Ri Bhoi,283074,57056,15450
South Garo Hills,85853,23093,7003
South West Garo Hills,132202,41722,14418
South West Khasi Hills,74524,9826,899
West Garo Hills,495167,110556,64283
West Jaintia Hills,306838,62167,20189
West Khasi Hills,143315,32659,4884
