District,NPS Amt.% NPA,Total Non-Priority NPA Amt,Tot NPA Prio No. Sec Non,Total NPS O/S Amt,Total NPS O/S No.,Other Amt (NPS),Other No. (NPS),Personal Loan Amt,Personal Loan No.,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,1.45,375.94,266,25977.7,6803,21631.18,5395,3423.44,1335,919.97,73,3.11,0,0,0
East Khasi Hills,0.46,3576.74,1896,779128.33,103861,608800.78,75378,79525.63,23709,78780.96,4142,12004.14,620,16.82,12
Ri Bhoi,0.93,1415.14,689,151910.07,29071,122244.86,23657,9180.59,3963,20364.13,1445,115.29,3,5.2,3
West Garo Hills,2.64,2662.14,1633,100713.82,26211,75203.35,19203,13306.75,6087,11824.43,911,379.29,10,0,0
West Khasi Hills,0.76,110.13,78,14455.64,4124,9350.11,2549,4052.6,1489,1036.19,84,16.74,2,0,0
