District,NPS Amt. % NPA,Total Non-Priority NPA Amt,Tot NPA Priorityrityrity No. Sec Non,Total NPS O/S Amt,Total NPS O/S No.,Other Amt (NPS),Other No. (NPS),Personal Loan Amt,Personal Loan No.,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,2.63,581.85,290,22126.33,6058,18983.99,4799,2542.61,1198,592.65,58,7.08,3,0,0
East Khasi Hills,15.66,89992.9,2017,574530.8,86562,443821.35,61507,64969.3,21100,63298.16,3829,2441.99,126,0,0
Ri Bhoi,1.33,1639.64,469,123392.21,24572,99722.71,20118,6650.86,3183,16919.39,1260,98.25,9,1,2
West Garo Hills,3.3,2975.16,1057,90224.57,23321,69667.97,16963,11421.17,5581,9038.57,767,96.86,10,0,0
West Khasi Hills,1.58,197.38,72,12490.6,4079,8379.92,2550,3811.97,1508,283.73,18,14.98,3,0,0
