District,Total MSME NPA Amt (PS),Total MSME NPA No. (PS),Total MSME O/S Amt (PS),Total MSME O/S No. (PS),Agri Amt % NPA,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Total Agri O/S Amt (PS),Total Agri O/S No. (PS)
East Garo Hills,332.93,710,2484.47,1462,20.59,1190.91,3276,5784.42,5448
East Jaintia Hills,1228.36,366,7321.8,2082,4.14,186.15,520,4500.36,2421
East Khasi Hills,11889.91,3066,164800.67,16706,3.82,4843.01,6117,126720.77,27038
Eastern West Khasi Hills,289.16,187,2675.86,1707,11.24,497.59,1211,4425.28,7386
North Garo Hills,341.29,417,1389.49,1099,48.25,1857.7,4650,3850.08,6090
Ri Bhoi,1425.65,1084,53242.73,5672,31.98,8368.7,15800,26167.15,32847
South Garo Hills,324.82,301,1041.05,714,17.07,555.77,2283,3255.95,3194
South West Garo Hills,457.09,342,2407.85,1276,52.26,2354.21,5108,4504.59,7577
South West Khasi Hills,96.57,65,1481.02,733,7.69,182.3,488,2370.29,2941
West Garo Hills,2161.31,2080,15435.81,7249,22.68,2896.05,8215,12767.53,14286
West Jaintia Hills,2647.13,958,19963.28,5942,6.1,1095.37,2094,17965.71,6484
West Khasi Hills,665.43,395,4063.62,2275,31.77,1930,3494,6074.47,7532
