District,Total MSME O/S Amt,Total MSME O/S No.,Other MSME Amt,Other MSME No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
East Garo Hills,2484.47,1462,76.1,54,16.87,1,138.28,32,2253.22,1375
East Jaintia Hills,7321.8,2082,314.51,119,76.41,15,2339.93,194,4590.95,1754
East Khasi Hills,164800.67,16706,578.46,201,21324.92,110,31847.02,1120,111050.27,15275
Eastern West Khasi Hills,2675.86,1707,333.76,284,0,0,370.07,23,1972.03,1400
North Garo Hills,1389.49,1099,136.07,32,0,0,29.06,7,1224.36,1060
Ri Bhoi,53242.73,5672,533.26,814,6628.63,34,10976.43,353,35104.41,4471
South Garo Hills,1041.05,714,97.63,29,0,0,127.91,17,815.51,668
South West Garo Hills,2407.85,1276,136.36,44,0,0,183.89,31,2087.6,1201
South West Khasi Hills,1481.02,733,29.55,16,0,0,79.32,7,1372.15,710
West Garo Hills,15435.81,7249,1229.87,624,176,6,3139.33,416,10890.61,6203
West Jaintia Hills,19963.28,5942,653.14,546,8.17,2,7575.33,695,11726.64,4699
West Khasi Hills,4063.62,2275,51.89,32,0,0,539.14,32,3472.59,2211
