District,ST Outstanding Amt,ST Outstanding No.,ST Disbursement Amt,ST Disbursement No.,SC Outstanding Amt,SC Outstanding No.,SC Disbursement Amt,SC Disbursement No.
East Garo Hills,5484.04,3428,539.92,205,117.8,30,43.81,9
East Jaintia Hills,10100.11,4267,1194.02,841,68.09,23,30.67,7
East Khasi Hills,247312.27,63662,28751.91,10729,5234.15,2631,1960.45,633
Eastern West Khasi Hills,9769.06,8386,1023.33,781,21.64,8,1,1
North Garo Hills,5366.92,4859,1189.62,543,225.93,54,101.83,15
Ri Bhoi,28020.1,22221,6277.28,3505,4036.07,1195,1739.32,336
South Garo Hills,4096.74,3260,537.53,291,20.31,12,13.8,3
South West Garo Hills,7398.5,5862,1654.78,545,238.83,84,89.34,22
South West Khasi Hills,4448.38,3427,548.95,349,43.49,15,30.75,2
West Garo Hills,24626.85,14365,5033.65,1701,1096.11,304,443.03,112
West Jaintia Hills,31653.03,9435,4492.02,1992,5061.51,1022,330.94,118
West Khasi Hills,11057.61,7148,1154.08,583,64.76,10,0,1
