District,Aadhaar Seeded No.,Rupay Card Activated,Rupay Card Issued No.,Deposits Held in A/C Amt,Zero Balance A/C No.,Total No. PMJDY,Female No.,Male No.,Urban No.,Rural No.
East Garo Hills,2159,14397,25139,944.18,1546,30565,18338,12227,7770,22795
East Jaintia Hills,3505,9859,20622,3269.4,1056,41101,25052,16049,1801,39638
East Khasi Hills,20635,41779,78579,13589.5,8823,153089,89081,64008,55112,99502
Eastern West Khasi Hills,791,6011,14566,3168.7,1057,34742,20938,13804,4464,30111
North Garo Hills,2096,24247,40850,1024.63,818,45197,25645,19552,3796,41401
Ri Bhoi,5936,13879,36964,3059.22,2639,59344,35903,23441,6706,52643
South Garo Hills,602,8130,12619,548.42,815,18423,10724,7699,4016,14407
South West Garo Hills,1404,20047,37078,1741.97,1323,47532,25742,21790,3561,43971
South West Khasi Hills,88,9909,12743,1143.42,1511,18289,11904,6385,1422,16867
West Garo Hills,15527,72249,141885,4581.09,8640,174481,100774,73707,19542,154941
West Jaintia Hills,4703,12069,33001,4384.02,2308,63534,41470,22064,13575,50934
West Khasi Hills,1806,5855,18726,2475.01,1504,39821,21857,17964,7550,38942
