District,PMFBY Kharif Farmers Covered No.,Loan Current Amount Year Achievement Crop
East Garo Hills,42,53.88
East Jaintia Hills,0,153.12
East Khasi Hills,5,2048.23
North Garo Hills,0,6.35
Ri Bhoi,16,738.56
South Garo Hills,0,3.6
West Garo Hills,102,1077.66
West Jaintia Hills,0,192.87
West Khasi Hills,67,466.86
