District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NULM Current Year Total Disbursement Amt,NULM Current Year Total Disbursement No.,Women SHG Beneficiary No.,Women SHG Amt,Women SHG No.,SHG Beneficiary No.,SHG Amt,SHG No.,SEP-I Amt,No. Sep-I
East Garo Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Jaintia Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Khasi Hills,66.26,23,18.11,30,1.9,1,1,1.9,1,1,1.9,1,0,0
Ri Bhoi,0,4,0,0,0,0,0,0,0,0,0,0,0,0
West Garo Hills,35.83,18,50.52,54,14.62,12,10,12.4,9,10,12.41,10,2.21,2
West Khasi Hills,0,0,0.18,1,0,0,0,0,0,0,0,0,0,0
