District,Inactive CSP,Active RuPay Card in PMJDY,First Time Active RuPay Card,Aadhaar Authenticated Sb Accounts,RuPay Card Issued in KCC
East Garo Hills,1,19658,19359,4556,691
East Jaintia Hills,8,20900,11542,5724,20
East Khasi Hills,21,93687,66887,57719,5384
Eastern West Khasi Hills,3,11539,4751,814,1013
North Garo Hills,1,34694,34329,2385,833
Ri Bhoi,7,27313,17704,5762,8570
South Garo Hills,1,11696,11536,968,72
South West Garo Hills,6,27298,26775,3798,652
South West Khasi Hills,0,11325,1954,103,339
West Garo Hills,7,91876,89126,26692,1261
West Jaintia Hills,11,17420,10307,6561,834
West Khasi Hills,7,11962,5172,2340,2661
