District,Plantation & Horticulture Amt,A/C Nos Plantation horticulture &,Farm Mechanization Amt,Farm Mechanization A/C,Amt wasteland Forestry and Dev.,A/C wasteland Forestry Nos and Dev.,Crop Amt Loan,Loan Crop A/C
East Garo Hills,0,0,3.2,10,0,0,734.77,791
East Jaintia Hills,0,0,9.82,13,3.31,2,244.38,335
East Khasi Hills,7.06,8,229.17,755,145.4,137,3919.39,4641
Eastern West Khasi Hills,0.32,1,71.66,231,5.67,2,798.1,1420
North Garo Hills,0,0,0,0,0,0,523.4,669
Ri Bhoi,0,0,12.99,34,5.96,6,4130.57,5197
South Garo Hills,0,0,0,0,0,0,295.44,385
South West Garo Hills,0,0,100.5,322,0,0,604.77,729
South West Khasi Hills,0,0,0,0,0,0,313.18,457
West Garo Hills,0,0,239.13,700,3.88,4,1668.03,1624
West Jaintia Hills,0,0,172.05,576,0.4,1,1064.72,1162
West Khasi Hills,0,0,0,0,4.48,3,603.08,959
