District,Total (PS) Amt. NPA Other,Total (PS) No. NPA Other,Other PS Amt,Other PS No.,Social Infra Amt,Social Infra No.,Housing Amt (PS),Housing No. (PS),Education Amt (PS),Education No. (PS)
East Garo Hills,70.91,39,0.39,3,0,6,63.51,27,7.01,3
East Jaintia Hills,349.61,55,219.38,36,3.67,2,109.46,9,17.1,8
East Khasi Hills,2203.01,1655,1702.11,1533,52.15,17,220.84,30,227.91,75
North Garo Hills,256.87,102,0,0,19.31,9,216.25,89,21.31,4
Ri Bhoi,270.75,287,132.12,253,4.37,3,83.38,9,50.88,22
South Garo Hills,104.73,47,0,0,25.69,12,79.04,35,0,0
West Garo Hills,599.39,216,154.61,136,42.24,13,383.07,58,19.47,9
West Jaintia Hills,421.21,116,199.4,60,14.43,17,156.45,24,50.93,15
West Khasi Hills,161.79,47,119.88,29,2.61,1,12.55,5,26.75,12
