District,Total MUDRA Disbursement Amt,Total MUDRA Disbursement No.,Tarun Amt,Tarun No.,Kishore Amt,Kishore No.,Sishu amt,Sishu No.
East Garo Hills,780.01,906,303.85,43,219.5,111,256.66,752
East Jaintia Hills,913.34,264,566.25,70,328.57,127,18.52,67
East Khasi Hills,11290.97,8366,4541.06,415,5125.95,3769,1623.96,4182
Eastern West Khasi Hills,137.44,47,88.24,12,40.11,16,9.09,19
North Garo Hills,259.48,128,174.34,26,77.23,40,7.91,62
Ri Bhoi,2276.92,1365,698.52,90,1409.34,849,169.06,426
South Garo Hills,261.43,94,152.84,21,94.94,43,13.65,30
South West Garo Hills,387.35,117,221.95,33,159.82,71,5.58,13
South West Khasi Hills,208.14,64,108.64,13,96.9,44,2.6,7
West Garo Hills,2580.81,2131,1291.52,174,643.25,278,646.04,1679
West Jaintia Hills,1763.22,1027,570.82,77,1040.38,561,152.02,389
West Khasi Hills,602.62,196,247.1,31,337.2,129,18.32,36
