District,cd_ratio
Alluri Sitharama Raju,129.0
Anakapalli,176.0
Anantapur,162.0
Annamayya,153.0
Bapatla,198.0
Chittoor,135.0
East Godavari,180.0
Eluru,194.0
Guntur,135.0
Kakinada,150.0
Konaseema,199.0
Krishna,194.0
Kurnool,158.0
Nandyal,191.0
Ntr,177.0
Palnadu,253.0
Parvathipuram Manyam,171.0
Prakasam,207.0
Spsr Nellore,181.0
Sri Sathya Sai,173.0
Srikakulam,153.0
Tirupati,81.0
Visakhapatanam,121.0
Vizianagaram,162.0
West Godavari,209.0
Y.s.r.,164.0
