district,sr,target_no,application_no,sanctioned_no,sanctioned_amt,disbursed_no,disbursed_amt,margin_money_claimed_no,margin_money_claimed_amt,margin_money_disbursed_no,margin_money_disbursed_amt
Almora,1,250,679,295,9.48,218,5.34,216,1.56,72,0.56
Bageshwar,2,200,552,282,7.5,220,4.83,217,1.58,151,1.14
Chamoli,4,250,712,276,10.17,270,10.03,268,2.65,179,1.81
Champawat,3,250,612,346,10.59,291,7.79,280,2.35,162,1.27
Dehradun,5,200,658,248,12.54,243,8.72,232,1.68,179,1.34
Haridwar,6,200,660,242,5.91,201,3.51,123,0.47,20,0.08
Nainital,7,250,737,298,13.52,270,6.87,229,1.83,113,0.94
Pauri Garhwal,8,250,912,374,14.41,288,10.95,287,2.77,233,2.33
Pithoragarh,9,250,630,285,9.39,268,7.39,266,2.27,187,1.65
Rudraprayag,10,200,467,246,8.61,231,7.44,226,1.98,130,1.31
Tehri Garhwal,11,250,682,269,8.07,159,5.25,149,1.08,71,0.49
Udham Singh Nagar,12,200,685,254,11.23,214,6.56,207,1.58,141,1.05
Uttarkashi,13,250,1273,451,13.31,282,8.22,274,2.32,174,1.45
