district,total_no_of_jlg,loan_o_s_to_jlgs,average_ticket_size_of_jlg_loan_o_s_total_credit_o_s_to_jlg_no_of_jlgs,there_are_about_42_867_self_help_groups_shgs_are_present_in_the_state_of_uttarakhand_as_on_june_2021_in_the_state_th,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female,total_no_of_shg,out_of_1_no_of_shgs_credit_linkage,average_ticket_size_of_shg_loan_o_s_total_credit_o_s_of_shg_no_of_credit_linked_shgs,average_ticket_size_of_jlg_loan_o_s_total_credit_o_s_of_jlg_no_of_jlgs,no_of_beneficiaries,out_of_i_no_of_bank_credit_linked_ii
Almora,923,6.54,70856,24,136,229,0,0,4427,2608,110000,70856,1932,1288
Bageshwar,101,0.87,86139,26,291,559,0,0,3000,1725,110000,86139,734,524
Chamoli,69,0.59,85507,71,22,96,3,5,3604,2385,120000,85507,2875,1838
Champawat,151,0.84,55629,29,0,0,0,0,2550,1470,95000,55629,1115,901
Dehradun,24353,82.88,34033,38,6960,8295,0,0,3419,2132,120000,34033,2514,2407
Haridwar,45234,162.39,35900,75,240,240,0,0,3020,1985,125000,35900,462,164
Nainital,7418,41.17,55500,42,0,0,0,0,1182,738,115000,55500,3277,2246
Pauri Garhwal,1226,9.26,75530,24,118,92,6,7,5705,3480,90000,75530,4083,2943
Pithoragarh,369,3.9,105691,42,0,0,0,0,3543,2130,90000,105691,1927,1469
Rudraprayag,50,4.09,818000,25,20,78,3,5,985,652,95000,818000,1057,847
Tehri Garhwal,257,3.13,121790,31,130,70,10,8,5233,3185,85000,121790,2308,1690
Udham Singh Nagar,16130,82.15,50930,98,2525,2125,153,121,2862,1945,105000,50930,4706,2947
Uttarkashi,337,3.09,91691,44,6,67,1,4,2747,1880,115000,91691,1604,981
