district,sr,no_of_branches,total_deposit,total_advances,c_d_ratio,total_deposite,c_d_ratio_pct
Almora,8,146,618500,1459,24,6185,24
Bageshwar,9,52,200200,520,26,2002,26
Chamoli,6,98,384700,2731,71,3847,71
Champawat,11,62,250600,732,29,2506,29
Dehradun,1,596,6417800,24215,38,64178,38
Haridwar,3,287,2241600,16875,75,22416,75
Nainital,12,258,1755300,7352,42,17553,42
Pauri Garhwal,5,194,1003800,2458,24,10038,24
Pithoragarh,10,107,484000,2026,42,4840,42
Rudraprayag,7,56,219500,545,25,2195,25
Tehri Garhwal,4,136,584500,1820,31,5845,31
Udham Singh Nagar,13,328,1567400,15370,98,15674,98
Uttarkashi,2,66,257800,1123,44,2578,44
