district,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_female
Almora,1932,1288
Bageshwar,734,524
Chamoli,2875,1838
Champawat,1115,901
Dehradun,2514,2407
Haridwar,3138,1451
Nainital,3277,2246
Pauri Garhwal,4083,2943
Pithoragarh,1927,1469
Rudraprayag,1057,847
Tehri Garhwal,2308,1690
Udham Singh Nagar,4706,2947
Uttarkashi,1604,981
