district,no_of_bsbda_per_one_lakh_population_i_no,no_of_pmjdy_a_c_per_on_e_lakh_popu_lation_ii_no,i_no_of_credit_accounts_per_one_lakh_population,no_of_active_pmjdy_a_c,out_of_i_availing_od_facility_ii,total_no_of_kcc_issued,total_no_of_kcc_issued_amt_o_s,total_no_of_kcc_issued_to_sf_mf,total_no_of_kcc_issued_to_sf_mf_amt_o_s,no_of_pm_jdy_a_c_p_er_one_lak_h_population_ii_no,49214_53316
Almora,10668,18691,13066,93084,14792,33381,110,33381,110,18691,13066
Bageshwar,10220,16751,11016,34828,179,12193,42,12193,42,16751,11016
Chamoli,11020,18833,14334,59002,1134,20978,61,20978,61,18833,14334
Champawat,11670,19367,14333,40230,135,13136,80,13136,80,19367,14333
Dehradun,19825,27667,28321,399013,18570,43569,536,39342,386,27667,28321
Haridwar,37580,35549,20679,571226,22724,115787,1566,96103,1405,35549,20679
Nainital,20630,26108,22745,211845,5200,57339,590,50890,524,26108,22745
Pauri Garhwal,10850,17231,13234,94737,1065,31912,88,31912,88,17231,13234
Pithoragarh,8820,13739,14916,53136,470,33796,198,33796,198,13739,14916
Rudraprayag,10238,17219,12864,33376,603,13383,53,13383,53,17219,12864
Tehri Garhwal,11821,19533,14264,96650,935,42329,176,42329,176,19533,14264
Udham Singh Nagar,46780,2862,28341,634163,27542,159938,3448,133752,2883,45247,28341
Uttarkashi,17120,27581,19134,72831,1354,35506,218,35506,218,27581,19134
