district,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,396,244,82,172
Bageshwar,166,340,215,266
Chamoli,77,448,44,232
Champawat,83,475,31,211
Dehradun,9,253,0,4
Haridwar,74,388,21,141
Nainital,42,348,42,119
Pauri Garhwal,1,526,13,433
Pithoragarh,147,398,72,129
Rudraprayag,198,182,106,68
Tehri Garhwal,106,446,78,335
Udham Singh Nagar,84,380,22,162
Uttarkashi,64,508,17,331
