district,no_of_internet_banking_subscribers_20_ii_no,no_of_mobile_banking_subscribers_20_iii_no,no_of_aeps_subscribers_20_iv_no,no_of_atm_cum_debit_cards_i_no
Almora,1.79,2.07,1.23,5.08
Bageshwar,1.26,0.85,0.85,2.27
Chamoli,1.44,1.14,1.14,3.95
Champawat,0.49,0.84,0.84,2.15
Dehradun,3.84,2.42,2.42,17.12
Haridwar,3.84,2.26,2.26,16.26
Nainital,2.86,1.46,1.46,6.55
Pauri Garhwal,1.72,1.32,1.32,4.15
Pithoragarh,1.05,0.62,0.62,3.2
Rudraprayag,0.16,0.4,0.4,2.23
Tehri Garhwal,1.57,0.75,0.75,4.75
Udham Singh Nagar,5.79,2.14,1.7,15.24
Uttarkashi,0.52,0.76,0.76,3.57
