district,total_no_of_shg,out_of_i_no_of_shgs_credit_linked,average_ticket_size_of_shg_loan_o_s_total_credit_o_s_to_shg_no_of_credit_linked_shgs,total_no_of_kcc_issued,total_no_of_kcc_issued_amt_o_s,total_no_of_kcc_issued_to_sf_mf,total_no_of_kcc_issued_to_sf_mf_amt_o_s,out_of_1_no_of_shgs_credit_linkage,average_ticket_size_of_shg_loan_o_s_total_credit_o_s_of_shg_no_of_credit_linked_shgs
Almora,4427,2608,110000,33381,11000,33381,11000,2608,110000
Bageshwar,3000,1725,110000,12193,4200,12193,4200,1725,110000
Chamoli,3604,2385,120000,20978,6100,20978,6100,2385,120000
Champawat,2550,1470,95000,13136,8000,13136,8000,1470,95000
Dehradun,3419,2132,120000,43569,53600,39342,38600,2132,120000
Haridwar,3020,1985,125000,115787,156600,96103,140500,1985,125000
Nainital,1182,738,115000,57339,59000,50890,52400,738,115000
Pauri Garhwal,5705,3480,90000,31912,8800,31912,8800,3480,90000
Pithoragarh,3543,2130,90000,33796,19800,33796,19800,2130,90000
Rudraprayag,985,652,95000,13383,5300,13383,5300,652,95000
Tehri Garhwal,5233,3185,85000,42329,17600,42329,17600,3185,85000
Udham Singh Nagar,2862,1945,105000,159938,344800,133752,288300,1945,105000
Uttarkashi,2747,1880,115000,35506,21800,35506,21800,1880,115000
