district,of Amt student which OS girl,OS amt,of No student which OS girl,OS No,of student Amt which Disb girl,Disb. Amt,of No student which Disb girl,Disb. Number,of tioned student which Amt Sanc- girl,Amt tioned Sanc-,of dent which No girl Sanctioned stu-,No Sanctioned
East Garo Hills,47.32,101.61,13,29,0,0,0,0,0,0,0,0
East Jaintia Hills,82.4,134.79,35,51,6.89,7.59,6,7,1.13,5.13,1,2
East Khasi Hills,8425.92,22565.65,10400,2747,653.63,2070.9,256,499,536.26,1716.58,83,181
North Garo Hills,32.37,70.57,11,25,2.39,5.87,4,7,0.96,3.18,1,2
Ri Bhoi,875.62,1310.64,272,389,66.01,84.84,43,51,82.5,94.65,14,17
South Garo Hills,23.77,38.72,8,12,1.15,2.26,2,3,0.54,1.67,1,2
West Garo Hills,542.39,1218.2,147,280,14.48,63.26,22,49,38.77,105.83,8,18
West Jaintia Hills,258.11,503.28,96,160,8.62,17.6,10,22,4.78,9.13,4,9
West Khasi Hills,231.9,331.62,91,130,27.84,26.84,16,14,33.87,33.87,7,7
