district,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
East Garo Hills,85,45.93,434,338.73
East Jaintia Hills,0,0,1,0.31
East Khasi Hills,49,22.4,545,121.09
Eastern West Khasi Hills,1,0.66,31,7.43
North Garo Hills,0,0,87,93.47
Ri Bhoi,463,189.16,3397,867.66
South Garo Hills,0,0,21,6.89
South West Garo Hills,7,3.83,311,167.01
South West Khasi Hills,0,0,3,0.97
West Garo Hills,799,357.08,5628,2130.61
West Jaintia Hills,177,77.81,441,243.07
West Khasi Hills,0,0,70,129.39
