district,cd_ratio,no_of_brs,total_deposit,total_advance
Dhalai,96,49,144256.74,137781.05
Gomati,63,65,247118.39,164719.61
Khowai,59,44,173507.05,113512.68
North Tripura,59,50,220082.52,131201.88
Sepahijala,68,59,222289.35,131906.38
South Tripura,61,63,241979.15,160868.61
Unakoti,66,35,136859.37,80040.14
West Tripura,51,215,2357201.13,1169752.72
