district,total_gps_to_be_covered,no_of_camps_held,pct_age_of_camps_held_as_on_date,pmjjby_sourced,pmsby_sourced
Dhalai,151,99,66,807,1274
Gomati,173,141,82,1342,1997
Khowai,124,82,66,1461,1666
North Tripura,129,107,83,1289,1815
Sepahijala,169,124,73,1134,1565
South Tripura,169,123,73,1772,2237
Unakoti,91,57,63,637,992
West Tripura,172,114,66,2167,3087
