District,Coverage percentage (%) of eligible savings accounts through any one digital mode,Coverage percentage (%) of eligible current accounts through any one digital mode
Dhalai,95.61,81.65
Gomati,97.27,88.47
Khowai,94.26,84.39
North Tripura,95.72,83.73
Sepahijala,94.79,85.74
South Tripura,95.63,79.24
West Tripura,100.00,100.00
