District,"Of which, no. of women accounts",Total No. of Accounts covered,% coverage,"Out of total no. of women accounts (G6), no of women accounts covered",% coverage for women accounts
Dhalai,270403,32014,5.93,13336,4.93
Gomati,352064,75086,11.04,26953,7.66
Khowai,237072,37686,8.08,17272,7.29
Sepahijala,332186,56661,8.64,23986,7.22
