District,No. of SHGs,Amount Sanctioned,Outstanding Accounts,Outstanding Amt,Avg ticket size loan outstanding
Dhalai,"2,589","3,803.85",5380,"3,879.40",0.72
Gomati,"2,348","4,125.97",6337,"4,829.17",0.76
Khowai,1471,1865.73,2728,1911.47,0.70
North Tripura,1932,2390.99,3269,"2,164.62",0.66
Sepahijala,1721,2710.55,3707,"2,673.07",0.72
South Tripura,"3,091","6,950.48",8472,"7,876.32",0.93
Unakoti,1898,2686.96,3062,2390.01,0.78
West Tripura,3040,4442.19,6033,4499.12,0.75
