District,Population,Total ATM,ATM Per Lakh Population
West Tripura,717366,271,38
Sepahijala,585320,47,8
Khowai,342864,28,8
Dhalai,404091,39,10
Gomati,482759,55,11
South Tripura,421618,45,11
Unakoti,265766,22,8
North Tripura,454133,57,13
