District,Population,No. of PMJDY Accounts,PMJDY Accounts Per Lakh Population
Dhalai,404091,104391,25834
Gomati,482759,105625,21879
Khowai,342864,92989,27121
North Tripura,454133,126850,27932
Sepahijala,585320,85746,14649
South Tripura,421618,121123,28728
Unakoti,265766,84253,31702
West Tripura,717366,230480,32129
