District,Self Help Groups No.,DRI Scheme Amt,DRI Scheme No.,Scheduled Tribes Amt,Scheduled Tribes No.,Scheduled Castes Amt,Scheduled Castes No.,Small & Marginal Farmers Amt,Small & Marginal Farmers No.
East Garo Hills,637,0,0,964.18,477,11.14,8,3407.37,5506
East Jaintia Hills,1099,2.85,33,8148.41,3934,49.94,16,3201.78,3368
East Khasi Hills,2949,30.66,143,127840.34,52908,3000.75,1773,21437.9,30006
Eastern West Khasi Hills,1011,1.65,9,10363.66,8768,0,0,5265.72,8379
North Garo Hills,744,1.56,6,1228.58,924,45.68,15,4019,6243
Ri Bhoi,1762,4.83,25,19323.11,16157,740.73,402,25195.86,36255
South Garo Hills,461,0,0,758.14,551,14.48,9,1591.06,3336
South West Garo Hills,723,0,0,1983.08,1740,104.94,26,4770.2,7595
South West Khasi Hills,619,0,0,3882.66,3256,2.26,3,2327.04,3153
West Garo Hills,2048,0,0,12346.76,6548,191.32,120,8614.68,16949
West Jaintia Hills,1677,5.72,23,20136.65,7764,153.44,70,5636.11,6964
West Khasi Hills,1021,1.17,12,9934.52,6887,26.08,6,5606.55,8499
