district,Amt. PMEGP % NPA,PMEGP NPA Amt.,No. PMEGP NPA,Amt. PMEGP O/S,PMEGP O/S No.,CY Amt. BURSED DIS-,CY No. BURSED DIS- A/C,CY TION Amt. SANC-,CY TION No. A/C SANC-
East Garo Hills,26.95,174.2,102,646.29,224,234.82,92,244.82,64
East Jaintia Hills,3.23,20.25,12,627.26,136,316.53,61,276.86,43
East Khasi Hills,15.68,1243.2,540,7929.84,1659,1826.52,339,2223.7,306
Eastern West Khasi Hills,5,21.4,18,428.21,114,107.59,17,163.59,16
North Garo Hills,23.35,141.1,93,604.16,223,181.77,73,93.45,24
Ri Bhoi,12.64,212.79,151,1683.05,543,365.77,161,362.28,96
South Garo Hills,29.32,200.08,128,682.41,219,268.19,61,199.3,24
South West Garo Hills,36.63,263.56,122,719.43,261,181.3,49,87.79,15
South West Khasi Hills,8.42,34.7,26,412.11,143,39.66,23,36.3,12
West Garo Hills,22.54,781.49,291,3466.5,884,1360.07,283,1117.57,205
West Jaintia Hills,8.32,229.24,105,2756.35,689,904.52,235,672.47,134
West Khasi Hills,31.78,188.28,130,592.53,232,80.73,37,116.71,16
