District,Total MSME NPA Amt (PS),Total MSME NPA No. (PS),Other MSME Amt,Other MSME No.,KVIC Amt,KVIC No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
East Garo Hills,616.8,989,8.19,4,11.88,12,0,0,0,0,596.73,973
East Jaintia Hills,682.48,189,0,0,2.83,2,0,0,72.69,7,606.96,180
East Khasi Hills,12341.18,4121,98.97,288,175.09,75,1837.87,5,1258.05,90,8971.2,3663
North Garo Hills,468.62,730,0.99,1,0,0,0,0,0,0,467.63,729
Ri Bhoi,1350.18,846,18.56,33,44.06,32,0,0,45.05,6,1242.51,775
South Garo Hills,452.41,496,5.11,1,17.3,13,0,0,0,0,430,482
West Garo Hills,2535.64,2318,28.2,19,35.86,19,0,0,139.73,10,2331.85,2270
West Jaintia Hills,2003.44,866,2.34,7,29.8,14,0,0,221.96,31,1749.34,814
West Khasi Hills,874.66,432,4.58,4,6.86,5,0,0,12.49,2,850.73,421
