district,OPS Total Amount O/S,O/S OPS No. Total,Other Amt. PS,No. Other PS,Amt. Renewable,No. Renewable,Amt. Infra Social,Infra Social No.,PS Amt. Housing,PS No. Housing,PS Amt. Education,PS No. Education,Amt. Export,No. Export
East Garo Hills,740.48,1113,143.14,1000,0,0,16.24,6,471.65,71,109.45,36,0,0
East Khasi Hills,59373.57,43153,15840.22,36979,0,0,113.49,36,33011.41,3828,10408.45,2310,0,0
Ri Bhoi,9945.14,2371,446.35,1224,12.48,1,9.42,5,8576.8,801,900.09,340,0,0
West Garo Hills,5977.1,2871,364.76,1909,0,0,79.3,20,4829.39,680,703.65,262,0,0
West Khasi Hills,1559.92,282,52.13,7,0,0,2.61,1,1224.96,146,280.22,128,0,0
