District,PMAY O/S Amt,PMAY O/S No.,PMAY Current Year Disbursed Amt,PMAY Current Year Disbursed No.,PMAY Eligible Housing Loan O/S Amt,PMAY Eligible Housing Loan O/S No.,Rural Housing Loan O/S Amt,Rural Housing Loan O/S No.,Housing Loan O/S Amt (NPS),Housing Loan O/S No. (NPS),Housing Loan O/S Amt (PS),Housing Loan O/S No. (PS)
East Garo Hills,0.89,1,0,0,8.85,1,82.01,8,1226.09,93,471.64,71
East Jaintia Hills,0,0,0,0,30.56,6,1489.58,85,1489.89,38,718.55,73
East Khasi Hills,601.85,58,20,1,1619.49,117,9237.32,511,91368.22,4279,32206.03,5688
North Garo Hills,0,0,0,0,0,0,777.18,55,662.07,68,559.92,120
Ri Bhoi,145.46,29,0,0,365.68,29,24363.28,1205,22853.51,1557,8549.12,798
South Garo Hills,0,0,0,0,0,0,72.26,3,885.66,68,443.04,65
South West Garo Hills,0,0,0,0,0,0,973.3,46,800.24,45,416.26,42
South West Khasi Hills,0,0,0,0,0,0,632.38,43,496.55,33,330.98,38
West Garo Hills,5.57,13,0,0,73.38,11,1461.04,147,13701.16,1005,4569.21,558
West Jaintia Hills,156.04,32,0,0,31.85,11,1090.66,82,3009.49,168,5036.88,2904
West Khasi Hills,36,28,0,0,195.03,27,310.54,31,486.46,37,1259.37,148
