district,Agri Total Amount O/S,O/S Agri No. Total,Amt Ancillary,No Ancillary,Agri Amt Infra,Agri No Infra,Farm Loan Credit Amt Term,Term Farm Loan Credit No,Farm Amt Credit Crop,Farm Crop No Credit
East Garo Hills,6221.91,6369,90.54,155,3328.68,1842,565.13,835,2237.56,3537
East Jaintia Hills,6076.57,3292,147.48,135,3209.81,510,1788.31,1101,930.97,1546
East Khasi Hills,144411.75,30654,4417.07,905,118113.64,1136,4329.34,3770,17551.7,24843
Eastern West Khasi Hills,6077.15,8404,55.31,51,1049.22,197,950.66,632,4021.96,7524
North Garo Hills,4471.99,6546,194.82,36,1489.7,1918,328.65,253,2458.82,4339
Ri Bhoi,31402.14,38913,1194.71,758,5381.81,2030,2698.28,4018,22127.34,32107
South Garo Hills,2941.76,3725,53.8,20,1505.88,1361,297.21,373,1084.87,1971
South West Garo Hills,5026.03,7937,15.68,7,2143.62,2614,674.78,1114,2191.95,4202
South West Khasi Hills,2986.83,3321,3.88,2,968.81,287,330.04,293,1684.1,2739
West Garo Hills,15429.3,19148,446.54,68,6217.17,3391,3130.12,6931,5635.47,8758
West Jaintia Hills,20112.06,7810,1413.03,308,13245.6,528,1483.85,1606,3969.58,5368
West Khasi Hills,7277.69,8631,109.88,183,1985.73,593,601.05,398,4581.03,7457
