district,Amt. USSD,A/C USSD,& Cards Amt. Credit) (Debit,& Cards Credit) A/C (Debit,IMPS Amt.,IMPS A/C,Code Bharat Amt. QR,Code Bharat A/C QR,BHIM Amt. Aadhaar,haar BHIM A/C Aad-,Amt. BHIM/UPI,A/c BHIM/UPI
East Garo Hills,410.2,15885,1156.84,29304,4008.07,26121,11.66,186,58.28,70,47241.73,4568905
East Jaintia Hills,534.78,17756,4988.14,118319,146708.89,46954,107,1213,70.63,46,94064.77,4397128
East Khasi Hills,16861.92,719741,88024.69,2118481,578232.16,496892,7633.81,15960,133.05,647,947520.4,39675619
Eastern West Khasi Hills,288.31,10167,2327.85,67706,1775.44,7918,0,0,1.11,8,17365.24,1041742
North Garo Hills,456.61,14324,1035.15,31281,1066.01,9257,0.42,8,96.13,63,49387.64,5559552
Ri Bhoi,2673.21,113314,8055.44,226035,186573.36,60839,117.99,1547,93.28,35,153404.48,9529955
South Garo Hills,248.82,9330,381.39,10108,902.83,4480,0,1,1.97,38,32367.55,2878127
South West Garo Hills,506.43,16948,789.52,19220,5554.83,37558,0.23,2,375.92,130,57619.96,4435953
South West Khasi Hills,275.34,9015,2106,52635,851.21,2839,5.45,54,3.54,10,13986.64,906283
West Garo Hills,2377.44,90633,5996.88,191601,122903.81,82755,151.2,1374,2378.28,651,258353.31,19871269
West Jaintia Hills,1255.6,48099,9802.99,252487,87989.07,36823,47.17,416,66.66,162,82672.26,4787447
West Khasi Hills,410.63,13723,4692.92,130355,3248.1,16417,1.23,22,2.75,6,36251.95,2245267
