district,of OS girl Amt student which,OS amt,of No student which OS girl,OS No,of student Amt which Disb girl,Disb. Amt,of No student which Disb girl,Disb. Number,of tioned student which Amt Sanc- girl,Amt Sanctioned,of dent which No girl Sanctioned stu-,No Sanctioned
East Garo Hills,49.72,108.19,15,36,7.18,9.52,6,9,0,0,0,0
East Jaintia Hills,78.27,180.78,36,60,12.04,18.44,10,14,6.97,16.91,4,6
East Khasi Hills,6707.53,12955.23,1329,2566,1557.66,4078.54,400,768,2660.03,6512.52,234,472
North Garo Hills,20.44,53.63,5,17,1.32,3.62,2,5,0,0,0,0
Ri Bhoi,685.07,1062.85,242,344,91.96,132.89,62,89,70.48,140.04,22,34
South Garo Hills,20.83,36.83,9,12,1.62,2.41,3,4,0,0,0,0
West Garo Hills,529.11,1115.82,142,272,27.02,116.89,30,73,46.38,163.44,8,27
West Jaintia Hills,236.13,452.44,92,153,21.14,49.13,21,37,23.61,44.8,14,20
West Khasi Hills,233.74,332.65,101,143,43.59,40.73,26,33,39.43,34.73,5,9
