District,Small Amt,Small No.,Micro Amt,Micro No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Term Loan Amt,Term Loan No.,Crop Amt,Crop No.
East Garo Hills,0,0,596.73,973,3.26,3,456.94,1567,54.74,88,695.09,1582
East Jaintia Hills,72.69,7,606.96,180,13.45,9,120.77,291,11.87,30,40.21,55
East Khasi Hills,1258.05,90,8971.2,3663,874.89,108,1216.62,780,183.1,457,2425.14,4493
Eastern West Khasi Hills,0,0,126.73,92,2.57,2,40.67,86,50.67,128,319.42,797
North Garo Hills,0,0,467.63,729,27.07,11,583.92,1660,17.74,32,1136.51,2423
Ri Bhoi,45.05,6,1242.51,775,102.91,176,758.78,1620,125.49,276,7844.87,13089
South Garo Hills,0,0,430,482,1.28,1,501.89,1252,56.56,88,303.38,937
South West Garo Hills,0,0,439.42,346,9.29,3,722.79,2076,23.27,60,1079.41,2632
South West Khasi Hills,0,0,144.05,63,0,0,110.39,108,6.32,9,84.56,183
West Garo Hills,139.73,10,2331.85,2270,333.65,35,801.96,2930,249.42,536,2134.35,4643
West Jaintia Hills,221.96,31,1749.34,814,125.02,93,270.55,275,42.01,92,826.42,1471
West Khasi Hills,12.49,2,850.73,421,33.98,4,134.34,425,27.38,39,1724.6,2816
