District,Population (Census 2011),No. of BC/CSP as on March 2022,No. of BC/CSP as on March 2023,No. of BC/CSP as on March 2024,No. of BC/CSP as on June 2024,BC/CSP per one lakh population as on June 2024 (Census 2011)
Dhalai,404091,212,214,284,286,71
Gomati,482759,161,165,382,383,79
Khowai,342864,190,189,233,235,69
North Tripura,454133,108,118,517,518,114
Sepahijala,585320,198,199,369,369,63
South Tripura,421618,144,148,298,300,71
Unakoti,265766,138,144,174,176,66
West Tripura,717366,195,194,557,559,78
