district,no_of_brs,total_deposit,total_advance,cd_ratio,c_d_ratio
Dhalai,50,149005.58,123113.08,83,83
Gomati,66,267020.1,172567.35,65,65
Khowai,45,185473.24,124022.84,67,67
North Tripura,52,238617.77,173114.35,73,73
Sepahijala,63,261157.05,151947.12,58,58
South Tripura,65,277152.88,189797.9,68,68
Unakoti,36,139523.24,96041.72,69,69
West Tripura,219,2534882.84,1086443.38,43,43
