district,Cluster,Crops,Sum Insured (Rs./ Hectare),Actuarial Premium Rates (Rs./ Hectare),Farmer Premium Rates (Rs./ Hectare),Central Premium Rates (Rs./ Hectare),State Premium Rates (Rs./ Hectare),Farmer' s Share of Premiu m (Rs.),Central Share of Premiu m (Rs.),State Share of Premiu m (Rs.),Total Premiu m (Rs.)
Dhalai,1,Aman Paddy,85922,3.00%,2.00%,0.90%,0.10%,1718.44,773.30,85.92,2577.66
Gomati,1,Aman Paddy,85922,4.00%,2.00%,1.80%,0.20%,1718.44,1546.60,171.84,3436.88
Khowai,1,Aman Paddy,85922,3.00%,2.00%,0.90%,0.10%,1718.44,773.30,85.92,2577.66
North Tripura,1,Aman Paddy,85922,3.00%,2.00%,0.90%,0.10%,1718.44,773.30,85.92,2577.66
Sepahijala,1,Aman Paddy,85922,3.00%,2.00%,0.90%,0.10%,1718.44,773.30,85.92,2577.66
South Tripura,1,Aman Paddy,85922,2.00%,2.00%,0.00%,0.00%,1718.44,0.00,0.00,1718.44
Unakoti,1,Aman Paddy,85922,3.00%,2.00%,0.90%,0.10%,1718.44,773.30,85.92,2577.66
West Tripura,1,Aman Paddy,85922,3.00%,2.00%,0.90%,0.10%,1718.44,773.30,85.92,2577.66
