district,population_census,no_of_pmjdy_population_no_of_no_of_no_of_accounts_per_pmjdy_sl_district_census_pmjdy_one_lakh_accounts,women_population_census
Dhalai,404091,130556,200132
Gomati,482759,113863,239094
Khowai,342864,92099,169809
North Tripura,454133,146999,224917
Sepahijala,585320,91316,289889
South Tripura,421618,131875,208813
Unakoti,265766,96463,131625
West Tripura,717366,263258,355287
