District,Population,Total Branch,Branch Per Lakh Population
West Tripura,717366,219,31
Sepahijala,585320,63,11
Khowai,342864,45,13
Dhalai,404091,50,12
Gomati,482759,66,14
South Tripura,421618,65,15
Unakoti,265766,36,14
North Tripura,454133,52,11
