district,Enrolment of APY Male,Female
Dhalai,9303,8690
Gomati,13739,12148
Khowai,8693,7148
North Tripura,13785,12138
Sepahijala,11552,10147
South Tripura,20570,19271
Unakoti,7312,6275
West Tripura,32394,33249
