district,cluster,sum_insured_rs_hectare,actuarial_premium_rates_rs_hectare,farmer_premium_rates_rs_hectare,central_premium_rates_rs_hectare,state_premium_rates_rs_hectare,farmer_s_share_of_premiu_m,central_share_of_premiu_m,state_share_of_premiu_m,total_premiu_m
Dhalai,1,85922,3,2,0.9,0.1,1718.44,773.3,85.92,2577.66
Gomati,1,85922,4,2,1.8,0.2,1718.44,1546.6,171.84,3436.88
Khowai,1,85922,3,2,0.9,0.1,1718.44,773.3,85.92,2577.66
North Tripura,1,85922,3,2,0.9,0.1,1718.44,773.3,85.92,2577.66
Sepahijala,1,85922,3,2,0.9,0.1,1718.44,773.3,85.92,2577.66
South Tripura,1,85922,2,2,0,0,1718.44,0,0,1718.44
Unakoti,1,85922,3,2,0.9,0.1,1718.44,773.3,85.92,2577.66
West Tripura,1,85922,3,2,0.9,0.1,1718.44,773.3,85.92,2577.66
