district,no_of_shgs,amount_sanction_ed,outstand_ing_accounts,outstand_ing_amount,avg_ticket_size_loan_outstandi
Dhalai,490,994.31,4688,5098.39,1.09
Gomati,340,856.25,4893,4664.41,0.95
Khowai,205,419.83,2517,2245.97,0.89
North Tripura,278,580.23,3022,2660.8,0.88
Sepahijala,427,1057.08,3487,3239.96,0.93
South Tripura,605,1650.37,6133,8182.74,1.33
Unakoti,245,549.85,2802,2809.48,1
West Tripura,341,719.08,4285,4232.5,0.99
