District,Allocated Bank,Village Name,Population,Reply from Bank,Suggestion made by house,Sub District
Dhalai,IDFC First Bank,Manu Chhailengta R.F. (Part) Village Code: 272532,5843,Bank yet to give response to SLBC desk after Bank’s Earlier reply was not accepted by the house.,IDFC Bank is requested to proceed for opening of branch at the allotted location.,Longtharai Valley
North Tripura,ICICI Bank,Taiyangpara Village Code: 272721,4334,,,Dasda
South Tripura,Bank of Maharashtra,Abhaynagar Village Code: 272301,7052,Earlier Bank of Maharashtra stated that the Bank is in process of opening branch at Nalua which is around 4 KM away from allotted location however branch is yet to be opened,Bank of Maharashtra has been requested to update the status to SLBC desk by email.,Belonia
Khowai,Federal Bank,Purba Rajnagar Village Code: 271934,4301,Allocated to concerned Bank by SLBC on 17.05.2023. Bank’s reply to DFS: Assigned team is doing a detailed feasibility study of the location.,SLBC desk has been advised to take update from Fedral Bank through email.,Khowai
