District,S.No.,Block,ATM Allocation
Unakoti,6,Chandipur,Punjab National Bank
Dhalai,2,Chawmanu,Punjab National Bank
North Tripura,10,Jubarajnagar,State Bank of India
South Tripura,14,Rupaichari,State Bank of India
West Tripura,16,Lefunga,State Bank of India
Gomati,9,Karbook,State Bank of India
Sepahijala,11,Nalchar,State Bank of India
