district,coverage_percentage_pct_of_eligible_savings_accounts_through_any_one_digital_mode,coverage_percentage_pct_of_eligible_current_accounts_through_any_one_digital_mode,digital_coverage_for_individuals_savings_accounts_eligible_operative_savings_accounts_no_of_accounts,digital_coverage_for_individuals_savings_accounts_eligible_operative_savings_accounts_of_which_no_of_women_accounts,digital_coverage_for_individuals_savings_accounts_debit_rupay_cards_coverage_total_no_of_accounts_covered,digital_coverage_for_individuals_savings_accounts_debit_rupay_cards_coverage_pct_coverage,digital_coverage_for_individuals_savings_accounts_debit_rupay_cards_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,digital_coverage_for_individuals_savings_accounts_debit_rupay_cards_coverage_pct_covera_ge_for_women_accoun_ts,digital_coverage_for_individuals_savings_accounts_internet_banking_coverage_d_total_no_of_accoun_ts_covere_d,digital_coverage_for_individuals_savings_accounts_internet_banking_coverage_d_pct_coverage,digital_coverage_for_individuals_savings_accounts_internet_banking_coverage_d_out_of_total_no_of_wome_n_accoun_ts_g6_no_of_wome_n_accoun_ts_covere_d,digital_coverage_for_individuals_savings_accounts_internet_banking_coverage_d_pct_covera_ge_for_women_accoun_ts,digital_coverage_for_businesses_current_accounts_total_no_of_eligible_operative_current_business_accounts,digital_coverage_for_businesses_current_accounts_eligible_operative_current_business_accounts_covered_through_net_banking_no_of_accounts_covered,digital_coverage_for_businesses_current_accounts_eligible_operative_current_business_accounts_covered_through_net_banking_pct_coverage,digital_coverage_for_businesses_current_accounts_eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts_covered,digital_coverage_for_businesses_current_accounts_eligible_operative_current_business_accounts_covered_with_pos_qr_pct_coverage,digital_coverage_for_businesses_current_accounts_eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no_of_accounts_covered,digital_coverage_for_businesses_current_accounts_eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_pct_coverage,digital_coverage_for_businesses_current_accounts_eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_no_of_accounts_covered,digital_coverage_for_businesses_current_accounts_eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_pct_coverage,digital_coverage_for_businesses_current_accounts_no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage,total_no_of_eligible_operative_current_business_accounts,eligible_operative_current_business_accounts_covered_through_net_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_through_net_banking_pct_coverage,eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_pos_qr_pct_coverage,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_pct_coverage,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_pct_coverage,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage
Dhalai,100,100,576143,286445,193936,33.66,84600,29.53,41888,7.27,17456,6.09,5287,1679,31.76,2690,50.88,2598,49.14,5287,100,381,5287,1679,31.76,2690,50.88,2598,49.14,5287,100,381
Gomati,100,100,724126,376318,267886,36.99,132288,35.15,84013,11.6,32754,8.7,10718,3169,29.57,3903,36.42,3502,32.67,10718,100,582,10718,3169,29.57,3903,36.42,3502,32.67,10718,100,582
Khowai,100,100,500947,253624,192025,38.33,85770,33.82,52643,10.51,24543,9.68,5929,2135,36.01,2742,46.25,2974,50.16,5929,100,403,5929,2135,36.01,2742,46.25,2974,50.16,5929,100,403
North Tripura,100,100,568976,286455,238810,41.97,112535,39.29,68738,12.08,26849,9.37,6554,2391,36.48,4125,62.94,2567,39.17,6554,100,498,6554,2391,36.48,4125,62.94,2567,39.17,6554,100,498
Sepahijala,100,100,686869,344052,258112,37.58,119140,34.63,66913,9.74,26658,7.75,8383,2295,27.38,4055,48.38,4113,49.07,8383,100.01,506,8382,2295,27.38,4055,48.38,4113,49.07,8382,100,506
South Tripura,100,100,691528,336684,219895,31.8,89876,26.69,59757,8.64,14794,4.39,7793,2572,33,3850,49.4,3876,49.74,7793,100,729,7793,2572,33,3850,49.4,3876,49.74,7793,100,729
Unakoti,100,100,420517,209276,158913,37.79,72434,34.61,43750,10.4,18391,8.79,6012,1766,29.37,2291,38.11,2538,42.22,6012,100,356,6012,1766,29.37,2291,38.11,2538,42.22,6012,100,356
West Tripura,100,100,1834612,832567,1118928,60.99,424113,50.94,490844,26.75,132095,15.87,36216,18731,51.72,13754,37.98,18869,52.1,36216,100,2782,36216,18731,51.72,13754,37.98,18869,52.1,36216,100,2782
